Relationship, Support, Confidence, Lift, Leverage, Conviction
"{61432}' -> '{74994}", 0.021633, 0.872549, 33.548287, 0.020989, 7.642085
"{74994}' -> '{61432}", 0.021633, 0.831776, 33.548287, 0.020989, 5.797061
"{64408}' -> '{25161}", 0.021390, 0.400000, 16.456000, 0.020091, 1.626155
"{25161}' -> '{64408}", 0.021390, 0.880000, 16.456000, 0.020091, 7.887700
"{44776}' -> '{14148}", 0.021390, 0.916667, 40.550179, 0.020863, 11.728731
"{14148}' -> '{44776}", 0.021390, 0.946237, 40.550179, 0.020863, 18.165970
"{82125}' -> '{24037}", 0.021390, 0.671756, 30.369264, 0.020686, 2.979124
"{24037}' -> '{82125}", 0.021390, 0.967033, 30.369264, 0.020686, 29.367444
"{14148}' -> '{54782}", 0.021147, 0.935484, 40.942347, 0.020631, 15.145843
"{54782}' -> '{14148}", 0.021147, 0.925532, 40.942347, 0.020631, 13.125009
"{25161}' -> '{74994}", 0.021147, 0.870000, 33.450280, 0.020515, 7.492240
"{74994}' -> '{25161}", 0.021147, 0.813084, 33.450280, 0.020515, 5.219956
"{40313}' -> '{45122}", 0.020661, 0.544872, 24.103253, 0.019804, 2.147514
"{45122}' -> '{40313}", 0.020661, 0.913978, 24.103253, 0.019804, 11.184188
"{45122}' -> '{55020}", 0.020418, 0.903226, 39.955602, 0.019907, 10.099741
"{55020}' -> '{45122}", 0.020418, 0.903226, 39.955602, 0.019907, 10.099741
"{61432}' -> '{25161}", 0.020175, 0.813725, 33.476667, 0.019572, 5.237930
"{25161}' -> '{61432}", 0.020175, 0.830000, 33.476667, 0.019572, 5.736509
"{51657}' -> '{12305, 95398}", 0.024793, 0.953271, 36.997708, 0.024123, 20.848614
"{95398}' -> '{51657, 12305}", 0.024793, 0.935780, 37.017290, 0.024124, 15.177790
"{12305}' -> '{51657, 95398}", 0.024793, 0.662338, 25.951020, 0.023838, 2.885952
"{51657, 95398}' -> '{12305}", 0.024793, 0.971429, 25.951020, 0.023838, 33.689838
"{51657, 12305}' -> '{95398}", 0.024793, 0.980769, 37.017290, 0.024124, 50.622263
"{12305, 95398}' -> '{51657}", 0.024793, 0.962264, 36.997708, 0.024123, 25.810767
"{12305}' -> '{92490, 95398}", 0.024550, 0.655844, 26.195562, 0.023613, 2.832913
"{92490}' -> '{12305, 95398}", 0.024550, 0.952830, 36.980598, 0.023886, 20.653767
"{95398}' -> '{12305, 92490}", 0.024550, 0.926606, 36.654375, 0.023881, 13.280566
"{12305, 92490}' -> '{95398}", 0.024550, 0.971154, 36.654375, 0.023881, 33.748176
